MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$postMenuItemReview$0,69,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_cannot_post_if_menu_item_does_not_exist()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,76,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,77,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,78,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,79,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,80,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,81,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,84,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postMenuItemReview,85,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_verify_setters()]
MenuItemReviewController.java,edu.ucsb.cs156.dining.controllers.MenuItemReviewController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postMenuItemReview,89,KILLED,edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.dining.controllers.MenuItemReviewControllerTests]/[method:logged_in_user_can_post_valid_menu_item_review()]
